SKU*,Warehouse Locations,Qty In Stock
D-NG21930,,0
D-NG22164,,0
D-NG22170,,0
F-KD24052B-E,"B6S,",0
F-NG22149,"F9S,L4S,N2M,",0
KD24033,,0
KD24034,,0
KD24036,"B7F,B7H,",140
KD24038,"B10F,",75
KD24039,"B10F,B11H,",89
KD24040,"B8S,",31
KD24041,,0
KD24042,"kitchen 22,",0
KD24043A,"Kitchen #8,",0
KD24043C,,0
KD24043D,"Kitchen #8,",1
KD24043F,"Kitchen #8,",1
KD24049,"A11F,",188
KD24050,"A13F,A13H,",119
KD24052A,,0
KD24052B,"B3H,B6S,",120
KD24052C,"B3H,B6S,",101
KD24052D,"B3H,B6S,",189
KD24052E,"B2M,B3H,B6S,",261
KD24052F,"B6S,",0
KD24053,,0
KD24054,,0
KD24055,"A13H,B5F,",62
KD24059,"A3S,B3M,",87
KD41005D,,
NG201A-24,"A3S,",0
NG201B-24,"A3S,",155
NG202-24,"C5H,",0
NG202D-24,"H3F,",0
NG205-48,"A3S,",1114
NG207-24,"D6F,",63
NG207A-24,"D6F,",617
NG207B-24,"D6F,",610
NG207D-24,"D6F,",308
NG21002-12,"A10S,",209
NG21004-24,"A9S,",189
NG21006B-24,"I2S,",450
NG21019-36,"A9H,A9S,",4124
NG21019-9,,0
NG21023-18,"A10S,",622
NG21031-24,"E7S,",136
NG21033-12,"A11H,A6F,",421
NG21033A,"A11H,A2F,",0
NG21033B,"A11H,A2F,",0
NG21035-12,"I2S,K7M,",864
NG21036-12,"I3F,K7M,",587
NG21037,"kitchen #29,",1
NG21038,"I3S,",4
NG21039A-6,"J9S,K5H,",128
NG21039B-6,"J9S,K5H,",116
NG21042A-6,,0
NG21042B-6,,0
NG21043-24,,0
NG21044-24,,0
NG21045A-10,"K4F,",36
NG21045B-10,"K7F,",74
NG21051-6,"D10F,",23
NG21052-12,"F6F,",1
NG21055-24,"D4F,",450
NG21066,,
NG21067,"I5S,",0
NG21072C,,0
NG21074C,"L4S,",88
NG21075D,"L4S,",28
NG21075E,"L4S,",20
NG21076A,"L4S,",83
NG21076A-E,,0
NG21076B,"Kitchen #8,",1
NG21076C,"L4S,",60
NG21076D,,0
NG21076E,"L4S,",27
NG21077A,,
NG21078D,,0
NG21080D,,0
NG21082B-12,,0
NG21083-12,"L5F,L5H,",268
NG21085-12,"L5F,L5H,",1271
NG21091-36,,17
NG21091-6,,0
NG21097-6,,0
NG21103-12,,-24
NG21104-12,"C2H,D2S,",500
NG21112-12,"Kitchen # 5,",0
NG21115-48,"E5M,E7S,",1776
NG21124-24,,
NG21127-24,,-48
NG21134-24,"D10M,D9F,",1557
NG21139-24,"N2M,",33
NG21140A-6,,0
NG21140B-6,,0
NG21142-12,,6
NG21157-12,"N1F,",106
NG21200B-12,"A6F,A7H,",0
NG21203-24,"D9F,",1192
NG21206,,0
NG21207-1,"I4S,",4
NG21209-210,,
NG21220-24,"B2H,D3F,",623
NG21223-12,,0
NG21225-12,"I7S,",74
NG21228-24,,0
NG21232-24,"I2S,",492
NG21237-24,,0
NG21248-24,"I2F,",513
NG21250-1,"I3S,",3
NG21263-24,,0
NG21266,,
NG21271-4,"I3S,",71
NG21272-24,,0
NG21273-24,,0
NG21275-48,"D5S,",234
NG21276-48,"C7H,D5S,",1831
NG21277-1,"I2S,",4
NG21281-12,,
NG21281A,"L3B,",16
NG21281E,"L3B,",19
NG21282A,,
NG21282C,,0
NG21283A,,0
NG21283A-E,,
NG21283B,,1
NG21283C,,1
NG21283D,,0
NG21283E,"L7S,",0
NG21291-1,"I5S,",6
NG21292,,0
NG21302-1,"E2F,",997
NG21304B-24,,0
NG21307-24,"F9H,F9S,",2198
NG21330-24,"I2S,",264
NG21368-12,,0
NG21373B,"A6S,",23
NG21387-1,"I3S,",12
NG21396-24,"C2S,",713
NG21399-12,,0
NG21411-12,"kitchen #2,",-12
NG21413-24,"E3F,",1296
NG21418-24,,48
NG21420-3-12,,0
NG21422-48,,0
NG21430-24,,0
NG21430-31,,0
NG21431-24,,0
NG21432-2-24,,0
NG21432-6,,0
NG21433-2-24,,0
NG21433-4,,0
NG21440-24,"L4S,",422
NG21448-2-12,,-36
NG21471-36,"A6S,C3M,",292
NG21471C-36,"Kitchen 18,",6
NG21472-36,"A10F,A11H,",3094
NG21472B-36,"D7S,D9H,",4767
NG21474-48,,24
NG21477-12,"N4M,",636
NG21488-18,"Kitchen #4,",15
NG21496-12,,0
NG21503-12,,0
NG21503-3,"Kitchen #29,",12
NG21522,,0
NG21538-12,,0
NG21543A,"Kitchen 41,",3
NG21543B,"Kitchen 41,",0
NG21552B-10,"K6F,",126
