
A,1,2,3,4,5,6,7,8,9,10,11,12,13

H,NG21930E(807),NG22170A-12(1713),BW138-12(0),IG043(759),NG22773(61),NG21928-24(2879),NG21044-24(447),BT120155(158),KD24043F(205),NG208B-1(0),NG22807A(212),NG22786(182),KD24050(219)
H,NG21930Y(1076),NG22170A-Z(621),BW138A-C(552),WT209C(258),,NG24007(595),NG22519B(537),,NG22533(3113),NG208B-12(872),,TKC304(237),KD24055(198)
H,NG22170I-12(1355),,BW138C(369),,,,X-NG21200B-12(131),,NG22533-6(0),NG21023-18(633),,,
H,NG22170L-12(1325),,BW146C(410),,,,,,NG22864(64),,,,
H,NG22170Y-12(843),,BW149C(228),,,,,,STD21283(11),,,,
H,STD22164(12),,ET166(1060),,,,,,,,,,
H,STD22170(4),,NG22739(118),,,,,,,,,,
H,X-ET083(445),,,,,,,,,,,,
M,BT120112(233),ET166(1060),NG22547(10),BT150127(44),MB023B(110),TKB124(283),NG22640(582),TKC301(238),BW117A-C(0),NG21872-24(1333),KD24049(274),BT7120(234),NG22097-24(2387)
M,BT120113(193),,NG22783(157),BT8839(132),NG22214-6(180),,TKB124(283),,NG22090-6(267),NG21872-6(0),NG22097-24(2387),TKC276(398),TKC276(398)
M,BT8598(292),,,WT303(125),,,,,NG22444(185),NG22081-48(4080),NG22863(80),TKC277(435),TKC277(435)
M,,,,,,,,,,NG22234-24(456),,,
M,,,,,,,,,,NG22456(684),,,
M,,,,,,,,,,NG22526(162),,,
M,,,,,,,,,,NG22829(2208),,,
M,,,,,,,,,,NG22858(100),,,
M,,,,,,,,,,NG22863(80),,,
M,,,,,,,,,,ST120A(1035),,,
M,,,,,,,,,,ST120B(1301),,,
S,,,NG201A-24(493),NG21145-24(167),,NG21871-24(540),NG21838-24(1026),,NG21004-24(361),NG21002-12(295),,,
S,,,NG201B-24(325),NG21754-24(132),,NG21928-24(2879),NG22097-24(2387),,NG22234-24(456),NG21091-36(1771),,,
S,,,ST120A(1035),NG22014-24(0),,NG22037-24(205),NG22270-48(5523),,NG22456(684),NG21091-6(0),,,
S,,,ST120B(1301),NG22103(2168),,NG22065-24(137),NG22273-24(380),,NG22526(162),NG21422-48(447),,,
S,,,ST121A(76),NG22103-6(0),,NG22455(1584),NG22829(2208),,NG22533(3113),NG21872-24(1333),,,
S,,,ST121B(787),NG22269(478),,X-ST084(144),,,NG22533-6(0),NG21872-6(0),,,
S,,,ST121C(1404),X-NG21059-12(19),,X-ST085(139),,,ST031A(423),NG22091-24(605),,,
S,,,,X-NG21420-3-12(24),,,,,ST031B(264),NG22258(0),,,
S,,,,,,,,,ST031C(8),NG22262(185),,,
S,,,,,,,,,WT137C(360),,,,
F,BT120272(226),ET169(1059),BW113A-C(407),BT150127(44),MB023B(110),NG22781(70),NG210(304),NG22214-6(180),NG21004-24(361),NG22197(24),KD24049(274),BT7120(234),KD24050(219)
F,,NG22094(16),ET153(0),NG22640(582),NG22090-6(267),NG22807B(66),NG21893A-20(633),NG22248(71),NG22444(185),NG22217-6(165),NG22743(193),NG22744(1),NG22479(0)
F,,NG22547(10),ET166(1060),NG22789(45),NG22773(61),NG22848B(147),NG21893B-20(238),NG22783(157),NG22804(23),NG22262(185),,NG22786(182),NG22787(33)
F,,NG22739(118),ET169(1059),NG22885(0),NG23035(0),,NG22807A(212),X-NG21140A-6(31),NG22847(0),NG22347(80),,NG22858(100),NG22863(80)
F,,NG23050A(261),MT063(259),,,,NG22848A(257),,ST031A(423),,,WT233(1),NG22864(64)
F,,TKC315(198),NG22642(0),,,,X-MB027(20),,ST031B(264),,,,
F,,,,,,,,,ST031C(8),,,,
F,,,,,,,,,X-NG21140B-6(0),,,,
F,,,,,,,,,X-NG22073-6(9),,,,
F,,,,,,,,,X-NG22073-A(15),,,,
F,,,,,,,,,X-NG22073-B(15),,,,
F,,,,,,,,,X-NG22379B(4),,,,

B,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,KD24052C(209),BW143C(562),KD24058(1111),NG22858(100),BW139A-C(846),NG21893A-20(633),NG21701-6(382),KD24041(94),KD24038(318),KD24039(159),,
H,,,WF1434B(588),TKB124(283),WT203G(402),NG21066(56),NG21893B-20(238),NG22079-6(71),KD24043C(386),KD24041(94),KD24040(146),,
H,,,X-NG048-12(1625),,WT203I(396),NG21067(2314),NG22270-48(5523),NG22079-A(0),,,WT039-24(3324),,
H,,,,,,ST030(69),,NG22079-B(0),,,X-NG048-12(1625),,
H,,,,,,WT209E(308),,NG22103(2168),,,,,
H,,,,,,,,NG22103-6(0),,,,,
H,,,,,,,,NG22142-6(57),,,,,
H,,,,,,,,NG24010-12(143),,,,,
H,,,,,,,,NG24011(0),,,,,
H,,,,,,,,NG24011-12(1091),,,,,
M,,ET153(0),KD24059(885),KD24052D(286),WT203A(421),WT203D(495),NG22497(1),NG22258(0),KD24033(1),NG21033A(334),WT039-24(3324),,
M,,KD24052A(106),,NG22075-12(416),WT203B(304),WT203E(343),NG22983(117),TKC300(401),KD24043D(1),NG21033B(380),,,
M,,KD24052B(218),,,WT203C(404),,TKC301(238),WT260B(666),TKC300(401),NG21472-36(3460),,,
M,,KD24052E(294),,,,,,,,TKC300(401),,,
M,,KD24052F(148),,,,,,,,,,,
M,,NG22149A(506),,,,,,,,,,,
M,,NG22650(977),,,,,,,,,,,
M,,NG22796(163),,,,,,,,,,,
S,,KD24054(59),BT8839(132),KD24052D(286),WT203A(421),BT120155(158),MB033(290),KD24040(146),,,,,
S,,KD24057(62),NG042A(442),NG22498(996),WT203A-E(25),NG22685(286),NG21019-36(4507),KD24041(94),,,,,
S,,KD24059(885),NG042E(620),WT203F-J(5),WT203B(304),TKC301(238),NG21701-6(382),NG22515(19),,,,,
S,,NG042B(491),NG042E-G(108),WT203G(402),WT203C(404),,NG22081-48(4080),WT260A(721),,,,,
S,,NG042B-D(588),NG042F(1320),WT203H(271),WT203D(495),,NG22105-48(2256),WT260B(666),,,,,
S,,NG042C(622),NG042G(353),WT203I(396),WT203E(343),,NG22142-6(57),,,,,,
S,,NG042D(248),NG22540(169),WT203J(197),WT203F(382),,NG24010-12(143),,,,,,
S,,NG22101-12(431),NG22650(977),WT209C(258),WT203F-J(5),,ST030(69),,,,,,
S,,,NG22796(163),WT209E(308),,,,,,,,,
F,,KD24058(1111),NG21220-24(391),KD24052A(106),KD24055(198),BT120157(112),NG22497(1),KD24033(1),KD24043A(69),BT7122(116),BT120156(60),,
F,,NG21399-12(1215),NG22681(156),KD24052B(218),NG22645(5),KD24036(312),NG22983(117),KD24034(14),KD24043B(0),BT8153(194),BT6947(0),,
F,,NG21766-12(0),PM107(708),KD24052C(209),WT039-24(3324),TKB124(283),TKC304(237),NG21042A-6(78),KD24043C(386),KD24037(0),,,
F,,NG22483(71),,KD24052E(294),,,,NG21042B-6(108),KD24043D(1),KD24038(318),,,
F,,WT303(125),,KD24052F(148),,,,TKC300(401),KD24043E(0),KD24039(159),,,
F,,,,,,,,,KD24043F(205),NG21472-36(3460),,,
F,,,,,,,,,NG22203A-D-12(201),,,,
F,,,,,,,,,NG22203B(57),,,,
F,,,,,,,,,NG22919(46),,,,

C,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,MI079F(197),BT8598(292),NG21471-36(1471),NG202-24(1536),NG22350(3000),NG21276-48(2599),NG21035-12(1136),NG21726B-12(0),NG22848A(257),NG21941A-6(141),,
H,,MT102(3720),NG21477-12(902),NG21726A-12(0),NG210(304),NG22473(766),NG22648(165),,NG21726C(0),NG23009(188),NG22626D(301),,
H,,NG23092(1120),NG21522(107),NG22068-12(1613),NG22240(753),TKC294(38),WT210(3719),,NG22775(73),TKC315(198),NG22724(377),,
H,,,NG22707(12),NG22908(622),NG22254(297),,,,NG23003C(240),,NG23003B(268),,
H,,,TKJH851(147),,,,,,TKB499(184),,,,
M,,TKA489(185),NG21471C-36(611),TKB504(152),NG21720(112),ET170(908),ET167(844),TKA190(46),MI012(613),MI012(613),NG21941A-6(141),,
M,,WT304(221),TKB495(300),,NG22513(1073),,X-NG21552A-10(8),,WT251K(1165),,NG22165(533),,
M,,,,,TB512(61),,,,,,NG22722(0),,
M,,,,,TKB900(46),,,,,,,,
S,,NG21522(107),NG22077-12(72),NG21877A(3),NG22131-24(1425),NG21465-48(285),NG21853(0),NG21874-12(105),,,,,
S,,NG22519B(537),NG22187(0),NG22068-12(1613),NG22254(297),NG21720(112),NG21959-12(0),NG22394(0),,,,,
S,,NG22722(0),NG22364(0),NG22409(63),NG22350(3000),NG22070-12(12),NG22775(73),NG22474(658),,,,,
S,,NG23092(1120),NG22446(145),NG22632(0),NG22513(1073),NG22107-6(80),NG22834(488),NG22525(24),,,,,
S,,WT218A(0),NG22556F(1002),NG22707(12),NG22908(622),NG22194-6(149),NG22968(316),NG22525-K(96),,,,,
S,,Y-NG22111A-12(0),NG23003A(196),NG23038(224),NG24021-24(270),NG22473(766),,NG22525-P(96),,,,,
S,,,NG23003B(268),,NG24021-6(0),TB512(61),,NG22978(186),,,,,
S,,,NG23003C(240),,WT210(3719),,,,,,,,
S,,,NG24051(0),,X-NG115(69),,,,,,,,
F,,NG22445(340),BT120083(0),NG21779(112),NG22131-24(1425),ET167(844),NG22582(895),NG22382(70),NG21396-24(255),NG21411-12(809),NG21936(121),,
F,,NG22519A(414),NG21077A(0),NG21824(315),NG22240(753),ET170(908),NG22692A-D(904),NG22531A(156),NG21839-24(3264),NG22071-12(828),NG21941A-6(141),,
F,,NG22714(723),NG21471-36(1471),NG22368(1162),NG22648(165),NG22041-12(134),NG22736(712),NG22531B(132),NG21957B(0),NG22165(533),,,
F,,NG22954(120),NG21471C-36(611),NG22632(0),TKB369(185),NG22070-12(12),NG23061(575),NG22580(77),NG22338(25),NG22490(109),,,
F,,NG23045A(108),NG22674(432),NG23049(0),,NG22213(0),TKB499(184),NG22680(140),NG22577(44),NG23009(188),,,
F,,TB836(447),TKB502(0),TKC261(38),,NG22481(1465),,NG22705(376),NG22724(377),,,,
F,,TKJH851(147),TKC281(151),,,NG23048(82),,WT180-12(0),NG23045C(213),,,,
F,,WT236(0),TKC294(38),,,TKB900(46),,,,,,,

D,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,NG22358(1005),NG21112-12(900),BW161(996),NG21877B(541),WT230(827),NG21472B-36(10284),MI074A-F(2128),NG22481(1465),NG21051-6(573),,,
H,,TB834(349),NG23003A(196),BW161-3(0),NG22506(2931),,,MI075-24(1940),NG22767(84),NG21097-6(72),,,
H,,TB836(447),WT273(549),TKC315(198),,,,NG21134-24(1726),,TKC307(49),,,
H,,,,,,,,NG22136-24(435),,,,,
H,,,,,,,,NG22855(99),,,,,
H,,,,,,,,WT137C(360),,,,,
M,,ET161(496),NG22734(229),NG22741(148),NG22247(4689),MI083A(178),MI083A-F(257),ET127(11),NG21778(298),WT254(756),,,
M,,NG21104-12(1316),NG23051(329),WT251E(1140),WT202(285),MI083C(127),NG21472B-36(10284),MI083B(493),TKA977(44),,,,
M,,NG21292(406),TKB855(39),WT304(221),,MI083F(153),NG21824(315),TKC281(151),,,,,
M,,,,,,NG22813(193),,,,,,,
M,,,,,,TKB494(320),,,,,,,
S,,NG21477-12(902),MI059A-F(2720),NG21840-36(1840),MI075-24(1940),MI074A-F(2128),NG208D(69),,NG21430-24(207),,,,
S,,NG22182-12-4(269),NG22987(1),NG22415(603),NG21275-48(803),MI083A(178),NG208D-1(0),,NG21430-31(124),,,,
S,,NG22358(1005),NG23057(2100),NG22415B(4),NG21276-48(2599),MI083A-F(257),NG21275-48(803),,NG21431-24(260),,,,
S,,NG22491(0),NG24007(595),NG22706(245),NG21877B(541),MI083B(493),NG21472B-36(10284),,NG21433-2-24(333),,,,
S,,NG23051(329),TKB521(0),NG22914(130),NG22143-48(432),MI083C(127),NG21732(19),,NG21433-4(0),,,,
S,,X-NG22025-6(22),,WT191(0),NG22686B(95),MI083D(35),NG21754B-24(2232),,NG21781D-24(480),,,,
S,,X-NG22208B(0),,,X-NG22365(97),MI083E(31),NG22443(0),,NG22136-24(435),,,,
S,,,,,,MI083F(153),,,NG24011(0),,,,
S,,,,,,NG22767(84),,,NG24011-12(1091),,,,
S,,,,,,,,,X-NG21781-24(6),,,,
F,,NG21112-12(900),NG21263-24(343),NG21055-24(363),NG22506(2931),NG207-24(233),NG22084(38),NG21778(298),NG21051-6(573),NG21097-6(72),,,
F,,NG21292(406),NG21679P-24(198),NG22247(4689),NG22636(1349),NG207A-24(683),NG22741(148),NG22735(0),NG21134-24(1726),NG22422(312),,,
F,,NG22182-12-4(269),NG22099-12(783),NG23045B(187),NG23000(174),NG207B-24(642),NG22813(193),NG22740(0),NG21203-24(1486),NG22928(816),,,
