
A,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,,,NG21899-1(198),NG23429(-24),,NG21200B-12(0),,NG21019-36(4124),,NG21033-12(421),,KD24050(119)
H,,,,NG23368(104),,,,,NG21872-24(739),,NG21033A(0),,KD24055(62)
H,,,,,,,,,NG22456(311),,NG21033B(0),,NG22807A(123)
H,,,,,,,,,NG22533(2825),,NG21472-36(3094),,
H,,,,,,,,,NG22533-6(0),,NG22097-24(1070),,
H,,,,,,,,,NG22829(1488),,R-NG21472-36(0),,
H,,,,,,,,,NG23434(121),,,,
H,,,,,,,,,Q-NG22533(0),,,,
M,,,NG23499(144),NG23535(0),,NG22214-6(89),,,,NG22407(2261),,NG23426(0),
M,,,NG23501(0),NG23535A(116),,NG23335(282),,,,R-NG22407(0),,NG23426A(246),
M,,,NG23501A(743),NG23535B(92),,NG23403(287),,,,R-NG22456(0),,NG23426B(258),
M,,,NG23501B(743),,,,,,,R-NG22829(0),,NG23427(224),
M,,,NG23514(0),,,,,,,,,,
M,,,NG23514A(198),,,,,,,,,,
M,,,NG23514B(222),,,,,,,,,,
S,,,KD24059(87),NG21754-24(737),,NG21373B(23),NG21838-24(492),,NG21004-24(189),NG21002-12(209),,,
S,,,NG201A-24(0),NG22103(1856),,NG21471-36(292),NG22073A(4),,NG21019-36(4124),NG21023-18(622),,,
S,,,NG201B-24(155),NG22269(246),,NG21928-24(2575),NG22097-24(1070),,NG22456(311),NG21872-24(739),,,
S,,,NG205-48(1114),R-NG21754-24(0),,NG22101-12(277),NG22829(1488),,NG22533(2825),NG21872-6(0),,,
S,,,R-NG205-48(0),R-NG22103(0),,NG22455(833),Q-NG22097-24(0),,NG22533-6(0),NG23334(266),,,
S,,,,R-NG22103-6(0),,NG23335(282),R-NG21838-24(0),,Q-NG22533(0),Q-NG21872-24(0),,,
S,,,,R-NG22269(0),,Q-NG21928-24(0),R-NG22097-24(0),,R-NG21004-24(0),R-NG21002-12(0),,,
S,,,,,,R-NG23225(0),R-NG22829(0),,R-NG22456(0),R-NG21023-18(0),,,
F,NG23510(0),NG21033A(0),NG23003A(56),NG23040(204),NG22090-6(124),NG21033-12(421),R-NG21893B-20(0),,NG21701-6(12),NG21472-36(3094),KD24049(188),NG22407(2261),KD24050(119)
F,NG23510A(-2),NG21033B(0),NG23003C(115),NG23045B(86),NG22248(119),NG21200B-12(0),,,NG22642(521),NG21893A-20(587),NG22743(97),NG22744(0),NG23309(163)
F,NG23510B(-2),NG23141(0),NG23136A(167),R-NG22640(0),NG22773(5),NG22848A(7),,,NG22783(20),NG22347(30),,NG23536(204),NG23311(54)
F,,NG23444(-11),NG23533(0),,NG23036(55),NG22848B(48),,,NG23142(119),NG23434(121),,R-NG22407(0),NG23353(1)
F,,NG23444A(0),NG23533A(95),,,NG23517(161),,,NG24010-12(35),R-NG21472-36(0),,,R-NG23309(0)
F,,NG23444B(0),NG23533B(94),,,NG23521(0),,,Q-NG21701-6(0),R-NG21893A-20(0),,,R-NG23311(0)
F,,R-NG23444(0),,,,,,,R-NG21701-6(0),,,,
F,,,,,,,,,R-NG22642(0),,,,

B,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,NG21220-24(623),KD24052B(120),NG23136A(167),,,KD24036(140),NG22103(1856),,NG23485(-22),KD24039(89),,
H,,NG23236(1614),KD24052C(101),,,,NG21893A-20(587),NG23142(119),,R-NG22640(0),,,
H,,R-NG21220-24(0),KD24052D(189),,,,R-NG21893A-20(0),Q-NG21701-6(0),,,,,
H,,R-NG23236(0),KD24052E(261),,,,,R-NG21701-6(0),,,,,
H,,,,,,,,R-NG22103(0),,,,,
H,,,,,,,,R-NG22103-6(0),,,,,
M,,KD24052E(261),KD24059(87),NG23424(652),Q-NG22650(0),,NG23484(-31),NG22642(521),NG23517(161),,NG22247(4037),,
M,,NG22149A(471),NG22248(119),NG23533(0),R-NG22650(0),,NG23484A(360),R-NG22642(0),NG23521(0),,R-NG22247(0),,
M,,NG23198(27),NG23368(104),NG23533A(95),R-NG22796(89),,NG23484B(314),,NG23533(0),,,,
M,,,NG23449(54),NG23533B(94),,,,,NG23533A(95),,,,
M,,,,,,,,,NG23533B(94),,,,
S,,Q-NG22101-12(0),NG22650(685),NG22498(831),NG23376(0),F-KD24052B-E(0),NG22807A(123),KD24040(31),,,,,
S,,R-NG22101-12(0),NG22796(45),Q-NG22498(0),NG23376A(449),KD24052B(120),NG23484(-31),NG22081-48(1098),,,,,
S,,,Q-NG22650(0),R-NG22498(0),NG23376B(449),KD24052C(101),NG23484A(360),R-NG22081-48(0),,,,,
S,,,R-NG22650(0),,NG23514(0),KD24052D(189),NG23484B(314),,,,,,
S,,,R-NG22796(89),,NG23514A(198),KD24052E(261),NG23485(-22),,,,,,
S,,,,,NG23514B(222),KD24052F(0),,,,,,,
S,,,,,Q-NG23372-462-3(0),,,,,,,,
S,,,,,Q-NG23372-73-3(0),,,,,,,,
F,NG23439A(26),NG23140A(54),NG23051(116),NG23252F(4),KD24055(62),NG21893B-20(143),KD24036(140),NG22214-6(89),NG23354(355),KD24038(75),NG22786(41),,
F,NG23439B(27),NG23140B(281),STD22089(11),NG23392A(128),NG22626B(76),NG23368(104),NG22685(173),NG23446(703),NG23355(343),KD24039(89),,,
F,,R-NG23320(0),STD22734A-B(39),NG23392B(84),NG22626C(44),NG23449(54),NG23479(-15),,NG23356(166),NG23352(10),,,
F,,,,NG23509(258),NG23338(239),,NG23479A(144),,NG23357(192),,,,
F,,,,,NG23429(-24),,NG23479B(140),,NG23424(652),,,,
F,,,,,NG23429A(57),,R-NG22685(0),,NG23427(224),,,,
F,,,,,NG23429B(57),,,,R-NG23356(0),,,,
F,,,,,R-NG23338(0),,,,,,,,

C,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,NG21104-12(500),R-NG23180(0),NG23028(261),NG202-24(0),NG22350(3547),NG21276-48(1831),NG22084(13),NG21957B(450),NG21658(672),,,
H,,,,NG23374(264),NG22254(47),R-NG22350(0),R-NG21276-48(0),NG23345(369),R-NG22481(0),NG22090-6(124),,,
H,,,,NG23375(0),NG22519A(364),,R-NG23210(0),R-NG23051(0),R-NG23170(0),NG23204A(155),,,
H,,,,NG23375A(196),NG22519B(482),,,,R-NG23294(0),R-NG21658(0),,,
H,,,,NG23375B(200),NG23003C(115),,,,,,,,
M,,,NG21471-36(292),NG23372(220),NG22693(721),,NG23446(703),NG22626C(44),,,,,
M,,,NG23382A(76),Q-NG23372-462-1(0),NG22767(63),,R-NG21656-1(0),,,,,,
M,,,NG23435(604),Q-NG23372-462-2(0),R-NG22693(0),,R-NG23210(0),,,,,,
M,,,R-NG21471-36(0),R-NG23372(0),,,X-NG21552A-10(0),,,,,,
S,,NG21396-24(713),NG22693(721),NG22409(47),NG23372(220),NG23223(534),NG21766-12(849),NG22706(46),,,,,
S,,NG22338(1416),NG23469(116),NG23471(816),NG23474C(25),R-NG23223(0),NG22674(852),NG23437(120),,,,,
S,,NG22519B(482),NG23469C(54),R-NG23038(0),Q-NG23372-462-1(0),,R-NG21766-12(0),NG23477(2),,,,,
S,,NG23104(206),NG23470C(48),R-NG23471(0),Q-NG23372-462-2(0),,R-NG22674(0),R-NG22706(0),,,,,
S,,NG23210(344),R-NG22693(0),,R-NG23372(0),,,,,,,,
